Company Name,Type,Category,Criteria,Placement Date,Open For
Dishman Carbogen Amcis Limited,Job,A,,2023-11-30 0:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Tata Consultancy Services,Job,A,6,2023-11-30 0:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Optimized Solutions Limited,"Internship, Job",A,6,2023-00-00 00:00:00,"BTech, MTech, MscIT"
Unisys,Internship,A,,2023-00-00 00:00:00,MTech
Grant Thornton Bharat LLP,Job,A1,,2023-00-00 00:00:00,"BTech, MTech, MTechEC"
Unisys India,Job,A,7,2023-00-00 00:00:00,BTech
Dolcera Information Technology Pvt Ltd,Job,A,,2023-00-00 00:00:00,"MTech, MscDS, MTechEC"
InfoAnalytica Consulting Pvt Ltd.,Job,A,,2023-00-00 00:00:00,"BTech, BTechMnC, MTech, MscIT, MscDS, MTechEC"
Nagarro Software Pvt Ltd-M.DES,Job,A,,2023-00-00 00:00:00,MDes
Tata Consultancy Services(Researcher R&I),Job,A1,8,2022-12-16 0:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Hexaware,"Internship, Job",A,6,2022-11-29 5:37:00,BTech
KPMG,"Job, Internship",A1,,2022-11-18 0:00:00,
Euler Motor,"Job, Internship",A1,,2022-11-15 0:00:00,BTech
,Job,A,5,2022-11-14 15:06:00,"BTech, MTech, MscIT, MscDS, MTechEC"
IBM NQT,,A,6,,"BTech, MTech, MscIT, MscDS, MTechEC"
Zoop One,Internship,A,,2022-11-10 0:00:00,"BTech, MscIT"
Autolytics Technology Private Limited,"Job, Internship",A,6,2022-11-08 0:00:00,
Wizzy Softech,"Internship, Job",A,,2022-11-00 00:00:00,"BTech, MTech, MscIT"
Hevo Data,Internship,A,,2022-10-27 12:15:00,"BTech, MscIT, MscDS"
Netmeds,"Job, Internship",A,6,2022-10-26 14:51:00,"BTech, MTech, MscIT, MTechEC"
,"Job, Internship",A,7,,BTech
Capgemini Exceller,Job,A,6,2022-10-15 0:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Infor,"Job, Internship",A,6.5,2022-10-14 13:30:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Axis Bank,Job,A1,6,2022-10-14 0:00:00,"BTech, MscIT"
Exxat,"Job, Internship",A1,5,2022-10-13 0:00:00,"BTech, MTech"
Motadata,,A1,6,,"BTech, MTech, MscIT, MTechEC"
Josh Technology Group,"Job, Internship",A1,,2022-10-08 0:00:00,"BTech, MTech, MscIT"
,Job,A,6,2022-10-07 0:00:00,BTech
rtCamp,"Job, Internship",A1,,2022-10-06 11:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
PeopleStrong Technologies Pvt Ltd,Internship,A1,6,2022-10-02 0:00:00,
Uber,"Job, Internship",A1,7,2022-09-28 0:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Bank Of America,Job,A,6,2022-09-27 0:00:00,
,,A,6,2022-09-23 0:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Amazon India(DS Only),Internship,A1,,2022-09-23 0:00:00,MscDS
Fynd (Shopsense Retail Technologies Ltd.),Job,,5,2022-09-22 12:17:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Infocusp Innovations,"Job, Internship",A1,6.5,2022-09-22 10:00:00,"BTech, MTech, MscIT, MscDS"
IBM Software Labs,"Job, Internship",A,7,2022-09-22 0:00:00,
MAQ Software,"Job, Internship",A1,6,2022-09-19 0:00:00,"BTech, MTech, MscIT"
BlogVault Pvt. Ltd.,"Job, Internship",A1,6,2022-09-14 0:00:00,"BTech, MTech, MscIT"
Tally Solutions,Job,A1,6,2022-09-09 0:00:00,BTech
IBM,,A1,7,,"BTech, MTech"
TartanHQ Solutions Private Limited,"Job, Internship",A1,6,2022-09-05 0:00:00,"BTech, MscIT, MscDS"
Searce,"Job, Internship",A1,6,2022-09-03 0:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Intuit,"Job, Summer Internship, Internship",A1,7,2022-09-02 15:20:00,"BTech, BTechMnC"
RapidBox,"Job, Internship",,6,2022-09-01 17:30:00,"BTech, MTech, MscIT, MDes, MscDS, MTechEC"
Morgan Stanley,"Summer Internship, Internship",A1,7,2022-08-26 0:00:00,
Futures First Info Services Pvt. Ltd,Internship,A1,5,2022-08-26 0:00:00,BTech
BNY Mellon,"Summer Internship, Internship",A1,7,2022-08-24 0:00:00,"BTech, BTechMnC"
Chalo Mobility,Job,A1,6.5,2022-08-23 21:00:00,"BTech, MTech, MTechEC"
Amazon,"Job, Internship",A1,6.5,2022-08-23 13:00:00,BTech
Delhivery Limited,"Job, Internship",A1,7,2022-08-17 9:00:00,BTech
Oracle,Job,A1,7,2022-08-16 0:00:00,"BTech, MTech, MTechEC"
Wells Fargo,"Job, Summer Internship",A1,,,BTech
Ontic Technologies,"Job, Internship",A1,6,2022-08-10 0:00:00,BTech
GE Digital,Internship,A1,6.5,2022-08-03 0:00:00,"BTech, MTech"
Flipkart,,A1,,2022-08-01 17:15:00,"BTech, BTchMnC, MTech, MTechEC"
IBM,"Job, Internship",A,7,2022-07-31 0:00:00,
Deutsche India Pvt Limited,"Job, Summer Internship",A1,7,2022-07-31 0:00:00,"BTech, BTechMnC"
Squadstack,"Job, Internship",,5,2022-07-28 0:00:00,"BTech, MTech, MscIT"
Media.net,,A1,,2022-07-28 0:00:00,"BTech, BTechMnC, MTech, MTechEC"
Atlassian,"Job, Internship",A1,7,2022-07-26 8:00:00,"BTech, MTech"
Tekion India,Job,,6,2022-07-23 16:30:00,"BTech, MTech, MscIT, MscDS"
MindTickle Interactive Media Private Limited,"Job, Internship",A1,,,BTech
,"Job, Internship",A1,,2022-07-21 10:00:00,BTech
Goldman Sachs,"Job, Summer Internship",A1,,2022-07-20 8:00:00,"BTech, BTechMnC, MTech, MTechEC"
Google,"Job, Summer Internship",A1,,2022-07-18 9:00:00,"BTech, BTechMnC, MTech, MscIT, MscDS, MTechEC"
Microsoft India Pvt. Ltd.,,A1,7,2022-07-18 9:00:00,
Sprinklr,"Job, Summer Internship, Internship",A1,,2022-07-18 0:00:00,"BTech, BTechMnC"
Trilogy Innovations,"Job, Summer Internship, Internship",A1,,2022-07-11 21:50:00,"BTech, BTechMnC, MTech, MscIT, MscDS, MTechEC"
Playpower Labs,"Internship, Job",A,,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Google India,Internship,A1,,,"BTech, MTech, MscIT, MscDS, MTechEC"
Atlan,"Job, Internship",A1,,2022-00-00 00:00:00,"BTech, MTech, MscIT"
Cadence,Internship,A1,,2022-00-00 00:00:00,"MTech, MTechEC"
Tech Mahindra,,A,6,2022-00-00 00:00:00,"BTech, MscIT"
Cloudera Data Platform India Private Limited,"Job, Internship",A1,7,2022-00-00 00:00:00,
,"Job, Internship",A1,7,2022-00-00 00:00:00,BTech
Logistixian Technologies Private Limited (Shipments),"Internship, Job",A1,5,2022-00-00 00:00:00,"BTech, MTech, MscIT"
Shipmnts,"Job, Internship",A,,2022-00-00 00:00:00,"BTech, MDes"
KFintech,"Job, Internship",A1,,2022-00-00 00:00:00,"BTech, MTech, MscIT"
Samsung,"Job, Internship",A1,7.3,2022-00-00 00:00:00,"BTech, MTech"
Newfold Digital,"Job, Internship",A1,6,2022-00-00 00:00:00,"BTech, MTech, MscIT"
Trading Technologies,"Job, Internship",A1,,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Intellolabs pvt ltd.,"Job, Internship",A1,6,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Awaaz De Infosystems Private Limited,"Job, Internship",A,,,"BTech, MscIT, MscDS"
Trading Technologies (SWE),"Job, Internship",A1,,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Mercer Mettl,,,7,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
,Internship,A,6,2022-00-00 00:00:00,"BTech, MscIT"
Lumenci,Job,A1,,2022-00-00 00:00:00,"BTech, MTech, MTechEC"
MAQ Software,"Job, Internship",A1,6,2022-00-00 00:00:00,"BTech, MTech, MscIT"
Qualcomm,,A1,7,2022-00-00 00:00:00,
Raapid,"Internship, Job",A1,7,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Quicko,"Job, Internship",A,,2022-00-00 00:00:00,
Opshub Technologies Pvt Ltd,"Job, Internship",A,7,,
HashedIn,"Internship, Job",A,6.5,2022-00-00 00:00:00,"BTech, MTech, MscIT"
,,A,5,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Verse Innovation,,,7,2022-00-00 00:00:00,"BTech, MTech, MscIT, MDes"
JSW Group,Job,A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT"
Interview Kickstart,"Job, Internship",A1,5,2022-00-00 00:00:00,"BTech, MTech, MscIT, MTechEC"
Steradian Semiconductors Pvt Ltd,"Job, Internship",A1,7,2022-00-00 00:00:00,"BTech, MTech, MTechEC"
Mercer Mettl(Intern – NLP/CV/SPEECH),Internship,A1,5,,"BTech, MTech, MscIT, MscDS, MTechEC"
Aavenir,,A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT"
InfoObjects Inc,"Job, Internship",A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Vinculum Solutions Pvt. Ltd.,"Job, Internship",,6,2022-00-00 00:00:00,
,Job,A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Clientjoy,"Job, Internship",A,5,,"BTech, MscIT, MDes, MscDS"
GlobalLogic A Hitachi Group Company,Job,A,6.4,2022-00-00 00:00:00,BTech
Colgate Global Business Services,Internship,A,,2022-00-00 00:00:00,MscDS
Karza Technologies Private Limited,,,,2022-00-00 00:00:00,"BTech, MTech, MscDS, MTechEC"
,"Job, Internship",A,6,2022-00-00 00:00:00,
FYNDNA Techcorp Private Limited,Job,A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Aakash Educational Services Limited,Job,,6,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
,"Internship, Job",A,,,
SKH Algorithms Pvt Ltd,,A,,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Episource India Pvt Ltd,"Internship, Job",A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Graas (Earlier Shoptimize),,A,,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Reliance Jio Infocomm Ltd,Job,A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT"
,Job,A,5,,"BTech, MTech, MscIT, MscDS, MTechEC"
Barclays Global Services India Pvt Ltd,Job,A1,6,2022-00-00 00:00:00,BTech
Schneider Electric,"Job, Internship",,6.5,,"BTech, MTech, MTechEC"
Go Digit General Insurance,Job,A,,2022-00-00 00:00:00,
,"Job, Internship",A,,2022-00-00 00:00:00,"BTech, MTech, MscDS, MTechEC"
Tata Consultancy Services Limited-M.Des,,A1,,2022-00-00 00:00:00,MDes
Tatvic Analytics,"Job, Internship",A,,2022-00-00 00:00:00,BTech
Decimal Point Analytics,Job,,5,2022-00-00 00:00:00,BTech
WisdmLabs,"Internship, Job",A,6,,"BTech, MTech, MscIT"
Fintech Global Center (Adsom Globaltech),"Job, Internship",A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT, MDes, MscDS, MTechEC"
,,A1,,2022-00-00 00:00:00,"BTech, MTech, MscIT, MDes, MscDS, MTechEC"
Hansa solutions,"Job, Internship",,6.5,2022-00-00 00:0:00,
Infodesk India Private Limited,Internship,A,,2022-00-00 00:00:00,"BTech, BTechMnC, MTech, MscIT, MscDS, MTechEC"
Bank of America,Job,A,6,,BTech
,,A,5.5,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
ElectricPe,Internship,,,2022-00-00 00:00:00,BTech
Injala Private Limited,"Job, Internship",A,,2022-00-00 00:00:00,
Shipturtle Apps Private Limited,Internship,A,,2022-00-00 00:00:00,BTech
ZURU Tech India Private Limited,,A,6,2022-00-00 00:00:00,"BTech, MTech, MscIT"
,"Job, Internship",A,,,"BTech, MTech, MscIT"
Skolar EdTech Pvt Ltd,Internship,A,,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS, MTechEC"
Bhaskaracharya National Institute for Space Applications and Geo-informatics,Job,A,,,
Signalchip,,,7,2022-00-00 00:00:00,"MTech, MTechEC"
SAS R&D,"Job, Internship",A1,7,2022-00-00 00:00:00,"BTech, MTech, MscIT, MscDS"
